window,era,label,n_events,n_seasons,mean_deviation_pp,ci_low_pp,ci_high_pp
S1-S40,S1-S10,Seasons 1-10,69,10,-0.59,-8.14,6.9
S1-S40,S11-S20,Seasons 11-20,78,10,0.29,-9.67,10.56
S1-S40,S21-S30,Seasons 21-30,66,10,15.48,6.59,24.92
S1-S40,S31-S40,Seasons 31-40,66,10,12.62,0.49,26.98
S1-S49,S1-S10,Seasons 1-10,69,10,-0.59,-8.14,6.9
S1-S49,S11-S20,Seasons 11-20,78,10,0.29,-9.67,10.56
S1-S49,S21-S30,Seasons 21-30,66,10,15.48,6.59,24.92
S1-S49,S31-S40,Seasons 31-40,66,10,12.62,0.49,26.98
S1-S49,S41-S49,Seasons 41-49,48,9,-8.17,-24.28,6.95
